length,net_charge,% Hydrophobe,Boman Index
25.0,2.0,56.0,-0.73
21.0,1.0,52.0,-1.28
23.0,3.0,43.0,0.08
48.0,10.0,47.0,1.39
37.0,8.0,37.0,1.81
37.0,7.0,37.0,1.58
37.0,7.0,37.0,1.99
37.0,8.0,37.0,1.75
24.0,3.0,41.0,0.59
20.0,4.0,50.0,0.55
26.0,9.0,38.0,2.53
49.0,10.0,36.0,3.14
24.0,3.0,45.0,0.21
25.0,4.0,40.0,0.97
25.0,7.0,44.0,0.86
19.0,5.0,47.0,1.02
25.0,6.0,40.0,0.9
25.0,6.0,40.0,1.13
23.0,6.0,47.0,0.49
26.0,3.0,46.0,0.49
21.0,3.0,52.0,-1.29
19.0,7.0,42.0,1.32
23.0,7.0,43.0,0.91
24.0,2.0,45.0,-0.51
20.0,3.0,55.0,-1.97
20.0,3.0,55.0,-1.84
17.0,1.0,58.0,-2.29
18.0,0.0,50.0,-1.26
18.0,0.0,50.0,-1.26
38.0,8.0,10.0,4.29
27.0,4.0,14.0,3.53
21.0,7.0,9.0,4.84
25.0,13.0,8.0,5.21
13.0,7.0,7.0,5.07
14.0,8.0,7.0,5.78
18.0,4.0,55.0,2.29
81.0,-2.0,37.0,1.94
90.0,-8.0,40.0,2.35
62.0,3.0,40.0,0.69
20.0,5.0,60.0,2.46
22.0,3.0,59.0,0.18
20.0,3.0,45.0,2.41
40.0,4.0,40.0,2.94
29.0,-5.0,20.0,2.44
36.0,5.0,27.0,2.05
31.0,3.0,41.0,0.15
31.0,3.0,41.0,0.4
31.0,3.0,41.0,0.46
13.0,2.0,69.0,-1.19
13.0,2.0,61.0,-2.39
13.0,2.0,69.0,-1.04
13.0,1.0,69.0,-2.26
32.0,5.0,43.0,0.19
33.0,4.0,45.0,0.36
14.0,2.0,57.0,-1.09
14.0,2.0,57.0,-1.16
14.0,2.0,57.0,-1.22
14.0,2.0,71.0,-1.99
25.0,4.0,52.0,-0.02
25.0,4.0,52.0,-0.15
20.0,3.0,65.0,-1.13
31.0,3.0,48.0,0.15
23.0,2.0,52.0,-1.1
20.0,2.0,50.0,-1.69
43.0,5.0,25.0,3.58
39.0,7.0,35.0,2.0
43.0,10.0,34.0,1.37
38.0,7.0,36.0,0.73
38.0,7.0,36.0,1.08
38.0,7.0,36.0,0.75
38.0,6.0,36.0,1.0
38.0,5.0,31.0,0.83
47.0,4.0,36.0,0.44
43.0,3.0,37.0,0.26
43.0,3.0,34.0,0.5
44.0,3.0,34.0,1.03
43.0,5.0,37.0,1.14
43.0,4.0,37.0,0.73
43.0,3.0,37.0,0.8
43.0,2.0,34.0,1.19
37.0,0.0,32.0,1.5
37.0,1.0,35.0,0.79
37.0,3.0,35.0,0.97
